id,J2,J1,freq,J1name,J1Prez,J1PrezParty,J1party,J2name,J2Prez,J2PrezParty,J2party,Year,G1,G2,J_id
1592,106,92,101,WJBrennan,Eisenhower,R,D,AMKennedy,Reagan,R,R,1988,2,1,92_106
1593,106,104,143,SDOConnor,Reagan,R,R,AMKennedy,Reagan,R,R,1988,1,1,104_106
1594,106,105,167,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,1988,1,1,105_106
1595,95,92,108,WJBrennan,Eisenhower,R,D,BRWhite,Kennedy,D,D,1989,2,1,92_95
1596,98,92,176,WJBrennan,Eisenhower,R,D,TMarshall,LBJ,D,D,1989,2,2,92_98
1597,98,95,104,BRWhite,Kennedy,D,D,TMarshall,LBJ,D,D,1989,1,2,95_98
1598,100,95,130,BRWhite,Kennedy,D,D,HABlackmun,Nixon,R,R,1989,1,2,95_100
1599,100,98,144,TMarshall,LBJ,D,D,HABlackmun,Nixon,R,R,1989,2,2,98_100
1600,100,92,149,WJBrennan,Eisenhower,R,D,HABlackmun,Nixon,R,R,1989,2,2,92_100
1601,102,100,111,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1989,2,1,100_102
1602,102,92,87,WJBrennan,Eisenhower,R,D,WHRehnquist,Nixon,R,R,1989,2,1,92_102
1603,102,95,152,BRWhite,Kennedy,D,D,WHRehnquist,Nixon,R,R,1989,1,1,95_102
1604,102,98,82,TMarshall,LBJ,D,D,WHRehnquist,Nixon,R,R,1989,2,1,98_102
1605,103,98,140,TMarshall,LBJ,D,D,JPStevens,Ford,R,R,1989,2,2,98_103
1606,103,102,102,WHRehnquist,Nixon,R,R,JPStevens,Ford,R,R,1989,1,2,102_103
1607,103,92,143,WJBrennan,Eisenhower,R,D,JPStevens,Ford,R,R,1989,2,2,92_103
1608,103,95,117,BRWhite,Kennedy,D,D,JPStevens,Ford,R,R,1989,1,2,95_103
1609,103,100,133,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1989,2,2,100_103
1610,104,92,90,WJBrennan,Eisenhower,R,D,SDOConnor,Reagan,R,R,1989,2,1,92_104
1611,104,102,162,WHRehnquist,Nixon,R,R,SDOConnor,Reagan,R,R,1989,1,1,102_104
1612,104,100,114,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1989,2,1,100_104
1613,104,98,85,TMarshall,LBJ,D,D,SDOConnor,Reagan,R,R,1989,2,1,98_104
1614,104,103,99,JPStevens,Ford,R,R,SDOConnor,Reagan,R,R,1989,2,1,103_104
1615,104,95,145,BRWhite,Kennedy,D,D,SDOConnor,Reagan,R,R,1989,1,1,95_104
1616,105,95,141,BRWhite,Kennedy,D,D,AScalia,Reagan,R,R,1989,1,1,95_105
1617,105,92,90,WJBrennan,Eisenhower,R,D,AScalia,Reagan,R,R,1989,2,1,92_105
1618,105,100,110,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,1989,2,1,100_105
1619,105,104,163,SDOConnor,Reagan,R,R,AScalia,Reagan,R,R,1989,1,1,104_105
1620,105,102,164,WHRehnquist,Nixon,R,R,AScalia,Reagan,R,R,1989,1,1,102_105
1621,105,98,87,TMarshall,LBJ,D,D,AScalia,Reagan,R,R,1989,2,1,98_105
1622,105,103,101,JPStevens,Ford,R,R,AScalia,Reagan,R,R,1989,2,1,103_105
1623,106,100,118,HABlackmun,Nixon,R,R,AMKennedy,Reagan,R,R,1989,2,1,100_106
1624,106,102,158,WHRehnquist,Nixon,R,R,AMKennedy,Reagan,R,R,1989,1,1,102_106
1625,106,95,143,BRWhite,Kennedy,D,D,AMKennedy,Reagan,R,R,1989,1,1,95_106
1626,106,98,92,TMarshall,LBJ,D,D,AMKennedy,Reagan,R,R,1989,2,1,98_106
1627,106,103,100,JPStevens,Ford,R,R,AMKennedy,Reagan,R,R,1989,2,1,103_106
1628,106,92,97,WJBrennan,Eisenhower,R,D,AMKennedy,Reagan,R,R,1989,2,1,92_106
1629,106,104,163,SDOConnor,Reagan,R,R,AMKennedy,Reagan,R,R,1989,1,1,104_106
1630,106,105,161,AScalia,Reagan,R,R,AMKennedy,Reagan,R,R,1989,1,1,105_106
1631,98,95,99,BRWhite,Kennedy,D,D,TMarshall,LBJ,D,D,1990,1,2,95_98
1632,100,95,105,BRWhite,Kennedy,D,D,HABlackmun,Nixon,R,R,1990,1,2,95_100
1633,100,98,124,TMarshall,LBJ,D,D,HABlackmun,Nixon,R,R,1990,2,2,98_100
1634,102,98,82,TMarshall,LBJ,D,D,WHRehnquist,Nixon,R,R,1990,2,1,98_102
1635,102,100,88,HABlackmun,Nixon,R,R,WHRehnquist,Nixon,R,R,1990,2,1,100_102
1636,102,95,123,BRWhite,Kennedy,D,D,WHRehnquist,Nixon,R,R,1990,1,1,95_102
1637,103,102,81,WHRehnquist,Nixon,R,R,JPStevens,Ford,R,R,1990,1,2,102_103
1638,103,95,92,BRWhite,Kennedy,D,D,JPStevens,Ford,R,R,1990,1,2,95_103
1639,103,98,123,TMarshall,LBJ,D,D,JPStevens,Ford,R,R,1990,2,2,98_103
1640,103,100,117,HABlackmun,Nixon,R,R,JPStevens,Ford,R,R,1990,2,2,100_103
1641,104,100,99,HABlackmun,Nixon,R,R,SDOConnor,Reagan,R,R,1990,2,1,100_104
1642,104,103,90,JPStevens,Ford,R,R,SDOConnor,Reagan,R,R,1990,2,1,103_104
1643,104,95,114,BRWhite,Kennedy,D,D,SDOConnor,Reagan,R,R,1990,1,1,95_104
1644,104,98,85,TMarshall,LBJ,D,D,SDOConnor,Reagan,R,R,1990,2,1,98_104
1645,104,102,122,WHRehnquist,Nixon,R,R,SDOConnor,Reagan,R,R,1990,1,1,102_104
1646,105,95,113,BRWhite,Kennedy,D,D,AScalia,Reagan,R,R,1990,1,1,95_105
1647,105,103,81,JPStevens,Ford,R,R,AScalia,Reagan,R,R,1990,2,1,103_105
1648,105,102,123,WHRehnquist,Nixon,R,R,AScalia,Reagan,R,R,1990,1,1,102_105
1649,105,100,92,HABlackmun,Nixon,R,R,AScalia,Reagan,R,R,1990,2,1,100_105
1650,105,104,117,SDOConnor,Reagan,R,R,AScalia,Reagan,R,R,1990,1,1,104_105
1651,105,98,82,TMarshall,LBJ,D,D,AScalia,Reagan,R,R,1990,2,1,98_105
1652,106,98,85,TMarshall,LBJ,D,D,AMKennedy,Reagan,R,R,1990,2,1,98_106
